Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,erez,Erez,4,,42.5666667,1.5
ad,erts,Erts,4,,42.5666667,1.5
ad,escaldas,Escaldas,8,,42.5,1.5333333
ad,escaldes,Escaldes,8,,42.5,1.5333333
ad,escas,Escàs,4,,42.55,1.5166667
ad,fontaneda,Fontaneda,6,,42.45,1.4666667
ad,juberri,Juberri,6,,42.4333333,1.5
ad,juverri,Juverri,6,,42.4333333,1.5
ad,la cortinada,La Cortinada,4,,42.5666667,1.5166667
ad,la costa,La Costa,2,,42.5833333,1.6333333
ad,l'aldosa,L'Aldosa,2,,42.5833333,1.6333333
ad,l'aldosa,L'Aldosa,5,,42.55,1.5333333
ad,la macana,La Maçana,4,,42.55,1.5166667
ad,la massana,La Massana,4,7211,42.55,1.5166667
ad,las escadas,Las Escadas,8,,42.5,1.5333333
ad,la vieja,la Vieja,7,,42.5,1.5166667
ad,les bons,Les Bons,3,,42.5333333,1.5833333
ad,les escaldes,Les Escaldes,8,15854,42.5,1.5333333
ad,llors,Llors,4,,42.6,1.5333333
ad,llorta,Llorta,4,,42.6,1.5333333
ad,llorts,Llorts,4,,42.6,1.5333333
ad,llumeneres,Llumeneres,6,,42.4666667,1.5166667
ad,lors,Lors,4,,42.6,1.5333333
ad,lo serrat,Lo Serrat,4,,42.6166667,1.55
ad,mas d'alins,Mas d'Alins,6,,42.4333333,1.45
ad,mas de ribafeta,Mas de Ribafeta,4,,42.5666667,1.4833333
ad,meritxell,Meritxell,2,,42.55,1.6
ad,molleres,Molleres,3,,42.55,1.5833333
ad,mosquera,Mosquera,3,,42.55,1.5833333
ad,nagol,Nagol,6,,42.4666667,1.5
ad,ordino,Ordino,5,2553,42.55,1.5333333
ad,pal,Pal,4,,42.55,1.4833333
ad,pas de la casa,Pas de la Casa,2,,42.55,1.7333333
ad,prats,Prats,2,,42.5666667,1.6
ad,puiol del piu,Puiol del Piu,4,,42.5666667,1.5
ad,ransol,Ransol,2,,42.5833333,1.6333333
ad,sanctuaire de meritxeli,Sanctuaire de Meritxeli,2,,42.55,1.6
ad,sanctuaire de meritxell,Sanctuaire de Meritxell,2,,42.55,1.6
ad,san joan de casettas,San Joan de Casettas,2,,42.5666667,1.6166667
ad,san julia,San Juliá,6,,42.4666667,1.5
ad,santa coloma,Santa Coloma,7,,42.5,1.5
ad,santa julia de loria,Santa Juliá de Loria,6,,42.4666667,1.5
ad,sant joan de casellas,Sant Joan de Casellas,2,,42.5666667,1.6166667
ad,sant joan de caselles,Sant Joan de Caselles,2,,42.5666667,1.6166667
ad,sant julia de loria,Sant Julià de Lòria,6,8020,42.4666667,1.5
ad,sant julia,Sant Juliá,6,,42.4666667,1.5
ad,sant pere,Sant Pere,2,,42.5833333,1.65
ad,santuari de meritxell,Santuari de Meritxell,2,,42.55,1.6
ad,segudet,Segudet,5,,42.55,1.5333333
ad,sertes,Sertes,6,,42.4666667,1.5
ad,sispony,Sispony,4,,42.5333333,1.5166667
ad,soldeu,Soldeu,2,,42.5833333,1.6666667
ad,sornas,Sornàs,5,,42.5666667,1.5333333
ad,vila,Vila,3,,42.5333333,1.5666667
ad,vixesarri,Vixesarri,6,,42.4833333,1.4666667
ad,xixerella,Xixerella,4,,42.55,1.4833333
ae,abu dabi,Abu Dabi,1,,24.466667,54.366667
ae,abu dhabi,Abu Dhabi,1,603687,24.466667,54.366667
ae,abu hail,Abu Hail,3,,25.285475,55.329611
ae,abu zabi,Abu Zabi,1,,24.466667,54.366667
ae,abu zabye,Abu Zabye,1,,24.466667,54.366667
ae,abu zabyo,Abu Zabyo,1,,24.466667,54.366667
ae,ad dharbaniya,Ad Dharbaniya,5,,25.783333,55.933333
ae,adgat,Adgat,4,,25.498669,56.358302
